distrito,date,temperature_2m,relative_humidity_2m,rain,temperature_80m,wind_speed_80m,wind_direction_80m,temperature_2m_max,temperature_2m_min,uv_index_max
Aveiro,2025-09-12 01:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 02:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 03:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 04:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 05:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 06:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 07:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 08:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 09:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 10:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 11:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 12:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 13:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 14:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 15:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 16:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 17:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 18:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 19:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 20:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 21:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 22:00:00+01:00,,,,,,,,,
Aveiro,2025-09-12 23:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 00:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 01:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 02:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 03:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 04:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 05:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 06:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 07:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 08:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 09:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 10:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 11:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 12:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 13:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 14:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 15:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 16:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 17:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 18:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 19:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 20:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 21:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 22:00:00+01:00,,,,,,,,,
Aveiro,2025-09-13 23:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 00:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 01:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 02:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 03:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 04:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 05:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 06:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 07:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 08:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 09:00:00+01:00,,,,,,,,,
Aveiro,2025-09-14 10:00:00+01:00,,,,,,,,,
